Q1,Q2,T1,T2
46.45854883940357,65.72269535360779,34.01,31.21
52.920782489497476,31.783876795190913,40.3,31.11
30.27341258249986,14.655388540108971,36.85,29.34
97.81767234676146,50.73007573585795,49.23,31.28
94.64887859603643,91.02533777687906,50.48,35.14
73.41808350306518,7.587293126237427,50.29,31.02
79.5867307230829,57.31303577646302,49.03,33.34
76.75700275927143,10.825883432445693,50.77,30.89
82.72773107636372,6.425982171773425,53.0,30.02
30.843877621088456,69.47419361646851,40.11,36.56
31.869507189671488,56.59639318483338,36.59,34.53
94.92710947384691,36.88312050253246,50.51,32.27
81.50246434865717,2.5618367006810083,53.61,30.44
85.2998930012858,32.80258454537016,53.87,32.82
74.1487983082547,91.21572686904348,48.58,36.92
74.65874611498839,66.64161791032387,48.29,35.82
21.967014852222523,1.7617725219779223,36.66,28.37
32.50024637825546,3.228250109313613,36.01,26.09
39.59586649674105,23.24010040405049,37.24,28.28
61.90797716393542,89.54603588222491,40.88,34.82
11.636341884823608,59.43751224659331,32.5,35.63
42.82252810283019,51.36422922858264,36.53,32.85
44.83691607320436,81.52435947017044,37.4,35.72
22.989402076228238,9.23498305324344,33.4,28.5
77.38325899930963,4.89207753916312,45.62,26.7
17.75298964641996,1.8120099032968962,33.82,25.06
37.11121231127954,77.31654259389954,34.11,32.08
67.12761823415522,47.91842083446076,42.43,31.82
84.94029657621199,37.38876319362393,49.29,31.37
50.56529814115726,21.50001273526515,43.88,30.21
22.934647201121226,30.488288804498954,34.59,29.95
35.31907405708199,50.722195962963866,34.85,31.02
63.32350608226622,89.83858803106072,40.01,35.3
60.92562223317268,28.500490249593835,44.62,32.27
3.103357761337955,21.12798909393413,31.08,30.6
96.8148215922482,9.08639255130086,50.87,29.41
41.346817765290844,42.96139376537717,42.1,33.02
5.893543433527659,82.18364329012978,30.82,38.75
8.463756323389127,83.26675993599633,28.21,39.27
23.247002596019094,53.046806626306086,30.95,34.53
42.74804577763738,35.40816213773957,35.92,31.11
45.463999954903386,60.196918009426646,37.4,33.47
98.91289147366433,82.71506124840192,47.94,34.18
13.553867684112465,25.221667111562507,34.53,31.31
86.48458869299024,54.2147176612389,46.04,31.89
50.70659928304357,92.69457437007574,41.59,38.2
20.762231921550356,4.3059124997071985,32.89,28.31
20.01469626811987,64.22390824741298,31.28,33.56
29.20534122190972,86.76998003591069,33.21,38.33
48.443475959989335,69.58037674739579,38.11,36.88
81.20856203432349,45.16343129381129,47.1,34.27
55.119309766708504,37.58544427100345,44.46,33.56
8.007225072981628,89.14083581653205,32.56,40.07
84.1541110714906,86.03531462946947,43.71,37.27
25.49017624578265,42.788843259688505,36.43,34.5
54.555867939306324,60.542356226488955,39.62,34.69
